Squadra,Nome Giocatore
Atalanta,Carnesecchi
Atalanta,Kossounou
Atalanta,Hien
Atalanta,Scalvini
Atalanta,Bellanova
Atalanta,De Roon
Atalanta,Ederson
Atalanta,Zalewski
Atalanta,De Ketelaere
Atalanta,Pasalic
Atalanta,Scamacca
Bologna,Skorupski
Bologna,Zortea
Bologna,Vitik
Bologna,Lucumì
Bologna,Miranda J.
Bologna,Ferguson
Bologna,Freuler
Bologna,Orsolini
Bologna,Odgaard
Bologna,Cambiaghi
Bologna,Castro S.
Cagliari,Caprile
Cagliari,Zappa
Cagliari,Mina
Cagliari,Luperto
Cagliari,Palestra
Cagliari,Adopo
Cagliari,Prati
Cagliari,Deiola
Cagliari,Obert
Cagliari,Folorunsho
Cagliari,S. Esposito
Como,Butez
Como,Vojvoda
Como,Ramon
Como,Kempf
Como,Valle
Como,Perrone
Como,Da Cunha
Como,Kuhn
Como,Paz N.
Como,Jesus Rodriguez
Como,Morata
Cremonese,Audero
Cremonese,Terracciano F.
Cremonese,Baschirotto
Cremonese,Bianchetti
Cremonese,Zerbin
Cremonese,Collocolo
Cremonese,Bondo
Cremonese,Vandeputte
Cremonese,Pezzella
Cremonese,Sanabria
Cremonese,Vardy
Fiorentina,De Gea
Fiorentina,Comuzzo
Fiorentina,Pongracic
Fiorentina,Ranieri L.
Fiorentina,Dodò
Fiorentina,Sohm
Fiorentina,Mandragora
Fiorentina,Fagioli
Fiorentina,Gosens
Fiorentina,Kean
Fiorentina,Gudmundsson A.
Genoa,Leali
Genoa,Norton-Cuffy
Genoa,Ostigard
Genoa,Vasquez
Genoa,Martin
Genoa,Frendrup
Genoa,Masini
Genoa,Carboni V.
Genoa,Stanciu
Genoa,Gronbaek
Genoa,Colombo
Inter,Sommer
Inter,Akanji
Inter,Acerbi
Inter,Bastoni
Inter,Dumfries
Inter,Barella
Inter,Calhanoglu
Inter,Sucic P.
Inter,Dimarco
Inter,Thuram
Inter,Martinez L.
Juventus,Di Gregorio
Juventus,Kalulu
Juventus,Bremer
Juventus,Gatti
Juventus,Joao Mario
Juventus,Thuram K.
Juventus,Locatelli
Juventus,Cambiaso
Juventus,Conceicao
Juventus,Yildiz
Juventus,David
Lazio,Provedel
Lazio,Marusic
Lazio,Gila
Lazio,Romagnoli
Lazio,Nuno Tavares
Lazio,Guendouzi
Lazio,Rovella
Lazio,Dele-Bashiru
Lazio,Isaksen
Lazio,Castellanos
Lazio,Zaccagni
Lecce,Falcone
Lecce,Danilo Veiga
Lecce,Tiago Gabriel
Lecce,Gaspar K.
Lecce,Gallo
Lecce,Coulibaly L.
Lecce,Pierret
Lecce,Helgason
Lecce,Pierotti
Lecce,Stulic
Lecce,Tete Morente
Milan,Maignan
Milan,Tomori
Milan,Gabbia
Milan,Pavlovic
Milan,Saelemaekers
Milan,Fofana Y.
Milan,Modric
Milan,Rabiot
Milan,Estupinan
Milan,Pulisic
Milan,Leao
Napoli,Meret
Napoli,Di Lorenzo
Napoli,Rrahmani
Napoli,Buongiorno
Napoli,Olivera
Napoli,Lobotka
Napoli,Politano
Napoli,Anguissa
Napoli,De Bruyne
Napoli,McTominay
Napoli,Hojlund
Parma,Suzuki
Parma,Delprato
Parma,Circati
Parma,Troilo
Parma,Lovik
Parma,Bernabè
Parma,Keita M.
Parma,Ordonez C.
Parma,Valeri
Parma,Cutrone
Parma,Pellegrino M.
Pisa,Semper
Pisa,Caracciolo A.
Pisa,Albiol
Pisa,Denoon
Pisa,Toure
Pisa,Aebischer
Pisa,Marin M.
Pisa,Angori
Pisa,Stengs
Pisa,Tramoni M.
Pisa,Nzola
Roma,Svilar
Roma,Hermoso
Roma,Mancini
Roma,NDicka
Roma,Wesley
Roma,Kone
Roma,Cristante
Roma,Angelino
Roma,Dybala
Roma,Soulè
Roma,Ferguson E.
Sassuolo,Muric
Sassuolo,Walukiewicz
Sassuolo,Muharemovic
Sassuolo,Idzes
Sassuolo,Doig
Sassuolo,Thorstvedt
Sassuolo,Boloca
Sassuolo,Kone
Sassuolo,Berardi
Sassuolo,Pinamonti
Sassuolo,Laurientè
Torino,Israel
Torino,Lazaro
Torino,Ismajli
Torino,Coco
Torino,Biraghi
Torino,Anjorin
Torino,Asllani
Torino,Casadei
Torino,Ngonge
Torino,Zapata D.
Torino,Vlasic
Udinese,Sava
Udinese,Bertola
Udinese,Kristensen T.
Udinese,Solet
Udinese,Ehizibue
Udinese,Atta
Udinese,Karlstrom
Udinese,Ekkelenkamp
Udinese,Kamara H.
Udinese,Zaniolo
Udinese,Davis K.
Verona,Montipò
Verona,Unai Nunez
Verona,Nelsson
Verona,Frese
Verona,Cham
Verona,Serdar
Verona,Bernede
Verona,Niasse
Verona,Bradaric
Verona,Giovane
Verona,Sarr A.
